<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
USDRUB,D,20130508,0,31.14
USDRUB,D,20130509,0,31.23
USDRUB,D,20130510,0,31.4
USDRUB,D,20130512,0,31.4
USDRUB,D,20130513,0,31.33
USDRUB,D,20130514,0,31.34
USDRUB,D,20130515,0,31.45
USDRUB,D,20130516,0,31.36
USDRUB,D,20130517,0,31.43
USDRUB,D,20130518,0,31.42
USDRUB,D,20130519,0,31.42
USDRUB,D,20130520,0,31.25
USDRUB,D,20130521,0,31.22
USDRUB,D,20130522,0,31.41
USDRUB,D,20130523,0,31.42
USDRUB,D,20130524,0,31.33
USDRUB,D,20130525,0,31.34
USDRUB,D,20130527,0,31.34
USDRUB,D,20130528,0,31.52
USDRUB,D,20130529,0,31.61
USDRUB,D,20130530,0,31.73
USDRUB,D,20130531,0,31.92
USDRUB,D,20130601,0,31.94
USDRUB,D,20130603,0,31.79
USDRUB,D,20130604,0,31.93
USDRUB,D,20130605,0,32.16
USDRUB,D,20130606,0,32.13
USDRUB,D,20130607,0,32.14
USDRUB,D,20130608,0,32.17
USDRUB,D,20130610,0,32.31
USDRUB,D,20130611,0,32.39
USDRUB,D,20130612,0,32.22
USDRUB,D,20130613,0,31.95
USDRUB,D,20130614,0,31.72
USDRUB,D,20130615,0,31.72
USDRUB,D,20130616,0,31.73
USDRUB,D,20130617,0,31.78
USDRUB,D,20130618,0,31.99
USDRUB,D,20130619,0,32.32
USDRUB,D,20130620,0,33
USDRUB,D,20130621,0,32.77
USDRUB,D,20130622,0,32.77
USDRUB,D,20130623,0,32.78
USDRUB,D,20130624,0,32.74
USDRUB,D,20130625,0,32.82
USDRUB,D,20130626,0,32.96
USDRUB,D,20130627,0,32.78
USDRUB,D,20130628,0,32.83
USDRUB,D,20130629,0,32.85
USDRUB,D,20130630,0,32.84
USDRUB,D,20130701,0,32.99
USDRUB,D,20130702,0,33.18
USDRUB,D,20130703,0,33.13
USDRUB,D,20130704,0,33.21
USDRUB,D,20130705,0,33.34
USDRUB,D,20130706,0,33.35
USDRUB,D,20130707,0,33.33
USDRUB,D,20130708,0,33.2
USDRUB,D,20130709,0,32.96
USDRUB,D,20130710,0,32.92
USDRUB,D,20130711,0,32.5
USDRUB,D,20130712,0,32.63
USDRUB,D,20130713,0,32.63
USDRUB,D,20130714,0,32.66
USDRUB,D,20130715,0,32.55
USDRUB,D,20130716,0,32.41
USDRUB,D,20130717,0,32.28
USDRUB,D,20130718,0,32.49
USDRUB,D,20130719,0,32.36
USDRUB,D,20130720,0,32.4
USDRUB,D,20130721,0,32.38
USDRUB,D,20130722,0,32.31
USDRUB,D,20130723,0,32.27
USDRUB,D,20130724,0,32.47
USDRUB,D,20130725,0,32.61
USDRUB,D,20130726,0,32.81
USDRUB,D,20130727,0,32.82
USDRUB,D,20130728,0,32.79
USDRUB,D,20130729,0,32.84
USDRUB,D,20130730,0,32.96
USDRUB,D,20130731,0,32.96
USDRUB,D,20130801,0,33.08
USDRUB,D,20130802,0,32.83
USDRUB,D,20130803,0,32.83
USDRUB,D,20130805,0,32.88
USDRUB,D,20130806,0,32.97
USDRUB,D,20130807,0,32.96
USDRUB,D,20130808,0,32.83
USDRUB,D,20130809,0,32.89
USDRUB,D,20130810,0,32.86
USDRUB,D,20130811,0,32.88
USDRUB,D,20130812,0,33
USDRUB,D,20130813,0,33.07
USDRUB,D,20130814,0,33.06
USDRUB,D,20130815,0,32.87
USDRUB,D,20130816,0,32.93
USDRUB,D,20130817,0,32.89
USDRUB,D,20130819,0,32.96
USDRUB,D,20130820,0,32.93
USDRUB,D,20130821,0,33.21
USDRUB,D,20130822,0,33.05
USDRUB,D,20130823,0,33.01
USDRUB,D,20130824,0,33.03
USDRUB,D,20130826,0,33.06
USDRUB,D,20130827,0,33.18
USDRUB,D,20130828,0,33.2
USDRUB,D,20130829,0,33.22
USDRUB,D,20130830,0,33.26
USDRUB,D,20130831,0,33.27
USDRUB,D,20130902,0,33.38
USDRUB,D,20130903,0,33.51
USDRUB,D,20130904,0,33.32
USDRUB,D,20130905,0,33.43
USDRUB,D,20130906,0,33.27
USDRUB,D,20130907,0,33.32
USDRUB,D,20130909,0,33.17
USDRUB,D,20130910,0,32.96
USDRUB,D,20130911,0,32.76
USDRUB,D,20130912,0,32.64
USDRUB,D,20130913,0,32.49
USDRUB,D,20130914,0,32.54
USDRUB,D,20130916,0,32.31
USDRUB,D,20130917,0,32.19
USDRUB,D,20130918,0,31.81
USDRUB,D,20130919,0,31.65
USDRUB,D,20130920,0,31.86
USDRUB,D,20130921,0,31.83
USDRUB,D,20130923,0,31.8
USDRUB,D,20130924,0,31.88
USDRUB,D,20130925,0,32.07
USDRUB,D,20130926,0,32.32
USDRUB,D,20130927,0,32.33
USDRUB,D,20130928,0,32.34
USDRUB,D,20130929,0,32.31
USDRUB,D,20130930,0,32.4
USDRUB,D,20131001,0,32.22
USDRUB,D,20131002,0,32.2
